Date Time,SamplePacin,BottleNum,Incr_Flow,AliquotNum,Level_950,Vel_950,Flow_950,FlowAV_vel,FlowAV_leve
MM/dd/yyyy hh:mm:ss,gal,,gal,ali,in,fps,gpm,fps,in
01/15/2021 12:17:00,15,2,-99999.00,,,,,2.451,1.62
01/15/2021 12:18:00,15,2,0.00,,,,,,
01/15/2021 12:19:00,15,2,,,,,,,
01/15/2021 12:20:00,15,2,0.00,0,0.24,3.12,0.000,2.355,1.86
01/15/2021 12:21:00,15,2,0.00,,,,,,
01/15/2021 12:22:00,15,2,0.00,,,,,,
01/15/2021 12:23:00,15,2,0.00,,,,,,
01/15/2021 12:24:00,15,2,0.00,,,,,,
01/15/2021 12:25:00,15,2,0.00,0,0.28,3.10,0.000,2.921,1.89
01/15/2021 12:26:00,15,2,0.00,,,,,,
01/15/2021 12:27:00,15,2,0.00,,,,,,
01/15/2021 12:28:00,15,2,0.00,,,,,,
01/15/2021 12:29:00,15,2,0.00,,,,,,
01/15/2021 12:30:00,15,2,0.00,0,0.28,3.10,0.000,2.753,1.95
01/15/2021 12:31:00,15,2,0.00,,,,,,
01/15/2021 12:32:00,15,2,0.00,,,,,,
01/15/2021 12:33:00,15,2,0.00,,,,,,
01/15/2021 12:34:00,15,2,0.00,,,,,,
01/15/2021 12:35:00,15,2,0.00,0,0.28,3.10,0.000,2.786,1.87
01/15/2021 12:36:00,15,2,0.00,,,,,,
01/15/2021 12:37:00,15,2,0.00,,,,,,
01/15/2021 12:38:00,15,2,0.00,,,,,,
01/15/2021 12:39:00,15,2,0.00,,,,,,
01/15/2021 12:40:00,15,2,0.00,0,0.28,3.10,0.000,2.719,1.96
01/15/2021 12:41:00,15,2,0.00,,,,,,
01/15/2021 12:42:00,15,2,0.00,,,,,,
01/15/2021 12:43:00,15,2,0.00,,,,,,
01/15/2021 12:44:00,15,2,0.00,,,,,,
01/15/2021 12:45:00,15,2,0.00,0,0.28,3.10,0.000,2.652,1.80
01/15/2021 12:46:00,15,2,0.00,,,,,,
01/15/2021 12:47:00,15,2,0.00,,,,,,
01/15/2021 12:48:00,15,2,0.00,,,,,,
01/15/2021 12:49:00,15,2,0.00,,,,,,
01/15/2021 12:50:00,15,2,0.00,0,0.28,3.10,0.000,2.585,1.91
01/15/2021 12:51:00,15,2,0.00,,,,,,
01/15/2021 12:52:00,15,2,0.00,,,,,,
01/15/2021 12:53:00,15,2,0.00,,,,,,
01/15/2021 12:54:00,15,2,0.00,,,,,,
01/15/2021 12:55:00,15,2,0.00,0,0.28,3.10,0.000,2.686,1.92
01/15/2021 12:56:00,15,2,0.00,,,,,,
01/15/2021 12:57:00,15,2,0.00,,,,,,
01/15/2021 12:58:00,15,2,0.00,,,,,,
01/15/2021 12:59:00,15,2,0.00,,,,,,
01/15/2021 13:00:00,15,2,0.00,0,0.28,3.10,0.000,2.786,1.82
01/15/2021 13:01:00,15,2,0.00,,,,,,
01/15/2021 13:02:00,15,2,0.00,,,,,,
01/15/2021 13:03:00,15,2,0.00,,,,,,
01/15/2021 13:04:00,15,2,0.00,,,,,,
01/15/2021 13:05:00,15,2,0.00,0,0.28,3.10,0.000,2.921,1.89
01/15/2021 13:06:00,15,2,0.00,,,,,,
01/15/2021 13:07:00,15,2,0.00,,,,,,
01/15/2021 13:08:00,15,2,0.00,,,,,,
01/15/2021 13:09:00,15,2,0.00,,,,,,
01/15/2021 13:10:00,15,2,0.00,0,0.28,3.10,0.000,2.686,1.82
01/15/2021 13:11:00,15,2,0.00,,,,,,
01/15/2021 13:12:00,15,2,0.00,,,,,,
01/15/2021 13:13:00,15,2,0.00,,,,,,
01/15/2021 13:14:00,15,2,0.00,,,,,,
01/15/2021 13:15:00,15,2,0.00,0,0.28,3.10,0.000,2.887,1.79
01/15/2021 13:16:00,15,2,0.00,,,,,,
01/15/2021 13:17:00,15,2,0.00,,,,,,
01/15/2021 13:18:00,15,2,0.00,,,,,,
01/15/2021 13:19:00,15,2,0.00,,,,,,
01/15/2021 13:20:00,15,2,0.00,0,0.28,3.10,0.000,2.652,1.91
01/15/2021 13:21:00,15,2,0.00,,,,,,
01/15/2021 13:22:00,15,2,0.00,,,,,,
01/15/2021 13:23:00,15,2,0.00,,,,,,
01/15/2021 13:24:00,15,2,0.00,,,,,,
01/15/2021 13:25:00,15,2,0.00,0,0.28,3.10,0.000,2.383,1.96
01/15/2021 13:26:00,15,2,0.00,,,,,,
01/15/2021 13:27:00,15,2,0.00,,,,,,
01/15/2021 13:28:00,15,2,0.00,,,,,,
01/15/2021 13:29:00,15,2,0.00,,,,,,
01/15/2021 13:30:00,15,2,0.00,0,0.28,3.10,0.000,2.652,1.76
01/15/2021 13:31:00,15,2,0.00,,,,,,
01/15/2021 13:32:00,15,2,0.00,,,,,,
01/15/2021 13:33:00,15,2,0.00,,,,,,
01/15/2021 13:34:00,15,2,0.00,,,,,,
01/15/2021 13:35:00,15,2,0.00,0,0.28,3.10,0.000,2.954,1.72
01/15/2021 13:36:00,15,2,0.00,,,,,,
01/15/2021 13:37:00,15,2,0.00,,,,,,
01/15/2021 13:38:00,15,2,0.00,,,,,,
01/15/2021 13:39:00,15,2,0.00,,,,,,
01/15/2021 13:40:00,15,2,0.00,0,0.28,3.10,0.000,2.585,1.89
01/15/2021 13:41:00,15,2,0.00,,,,,,
01/15/2021 13:42:00,15,2,0.00,,,,,,
01/15/2021 13:43:00,15,2,0.00,,,,,,
01/15/2021 13:44:00,15,2,0.00,,,,,,
01/15/2021 13:45:00,15,2,0.00,0,0.28,3.10,0.000,2.753,1.93
01/15/2021 13:46:00,15,2,0.00,,,,,,
01/15/2021 13:47:00,15,2,0.00,,,,,,
01/15/2021 13:48:00,15,2,0.00,,,,,,
01/15/2021 13:49:00,15,2,0.00,,,,,,
01/15/2021 13:50:00,15,2,0.00,0,0.28,3.10,0.000,2.853,1.88
01/15/2021 13:51:00,15,2,0.00,,,,,,
01/15/2021 13:52:00,15,2,0.00,,,,,,
01/15/2021 13:53:00,15,2,0.00,,,,,,
01/15/2021 13:54:00,15,2,0.00,,,,,,
01/15/2021 13:55:00,15,2,0.00,0,0.28,3.10,0.000,2.618,1.84
01/15/2021 13:56:00,15,2,0.00,,,,,,
01/15/2021 13:57:00,15,2,0.00,,,,,,
01/15/2021 13:58:00,15,2,0.00,,,,,,
01/15/2021 13:59:00,15,2,0.00,,,,,,
01/15/2021 14:00:00,15,2,0.00,0,0.28,3.10,0.000,2.182,1.96
01/15/2021 14:01:00,15,2,0.00,,,,,,
01/15/2021 14:02:00,15,2,0.00,,,,,,
01/15/2021 14:03:00,15,2,0.00,,,,,,
01/15/2021 14:04:00,15,2,0.00,,,,,,
01/15/2021 14:05:00,15,2,0.00,0,0.28,3.10,0.000,2.618,1.74
01/15/2021 14:06:00,15,2,0.00,,,,,,
01/15/2021 14:07:00,15,2,0.00,,,,,,
01/15/2021 14:08:00,15,2,0.00,,,,,,
01/15/2021 14:09:00,15,2,0.00,,,,,,
01/15/2021 14:10:00,15,2,0.00,0,0.28,3.10,0.000,2.786,1.91
01/15/2021 14:11:00,15,2,0.00,,,,,,
01/15/2021 14:12:00,15,2,0.00,,,,,,
01/15/2021 14:13:00,15,2,0.00,,,,,,
01/15/2021 14:14:00,15,2,0.00,,,,,,
01/15/2021 14:15:00,15,2,0.00,0,0.28,3.10,0.000,2.585,1.81
01/15/2021 14:16:00,15,2,0.00,,,,,,
01/15/2021 14:17:00,15,2,0.00,,,,,,
01/15/2021 14:18:00,15,2,0.00,,,,,,
01/15/2021 14:19:00,15,2,0.00,,,,,,
01/15/2021 14:20:00,15,2,0.00,0,0.28,3.10,0.000,2.954,1.78
01/15/2021 14:21:00,15,2,0.00,,,,,,
01/15/2021 14:22:00,15,2,0.00,,,,,,
01/15/2021 14:23:00,15,2,0.00,,,,,,
01/15/2021 14:24:00,15,2,0.00,,,,,,
01/15/2021 14:25:00,15,2,0.00,0,0.28,3.10,0.000,2.484,1.68
01/15/2021 14:26:00,15,2,0.00,,,,,,
01/15/2021 14:27:00,15,2,0.00,,,,,,
01/15/2021 14:28:00,15,2,0.00,,,,,,
01/15/2021 14:29:00,15,2,0.00,,,,,,
01/15/2021 14:30:00,15,2,0.00,0,0.28,3.10,0.000,2.988,1.79
01/15/2021 14:31:00,15,2,0.00,,,,,,
01/15/2021 14:32:00,15,2,0.00,,,,,,
01/15/2021 14:33:00,15,2,0.00,,,,,,
01/15/2021 14:34:00,15,2,0.00,,,,,,
01/15/2021 14:35:00,15,2,0.00,0,0.28,3.10,0.000,2.887,1.79
01/15/2021 14:36:00,15,2,0.00,,,,,,
01/15/2021 14:37:00,15,2,0.00,,,,,,
01/15/2021 14:38:00,15,2,0.00,,,,,,
01/15/2021 14:39:00,15,2,0.00,,,,,,
01/15/2021 14:40:00,15,2,0.00,0,0.28,3.10,0.000,2.954,1.80
01/15/2021 14:41:00,15,2,0.00,,,,,,
01/15/2021 14:42:00,15,2,0.00,,,,,,
01/15/2021 14:43:00,15,2,0.00,,,,,,
01/15/2021 14:44:00,15,2,0.00,,,,,,
01/15/2021 14:45:00,15,2,0.00,0,0.28,3.10,0.000,2.350,1.71
01/15/2021 14:46:00,15,2,0.00,,,,,,
01/15/2021 14:47:00,15,2,0.00,,,,,,
01/15/2021 14:48:00,15,2,0.00,,,,,,
01/15/2021 14:49:00,15,2,0.00,,,,,,
01/15/2021 14:50:00,15,2,0.00,0,0.28,3.10,0.000,2.759,1.65
01/15/2021 15:55:00,15,2,0.00,0,0.28,3.10,0.000,0.873,0.00
01/15/2021 15:56:00,15,2,0.00,,,,,,
01/15/2021 15:57:00,15,2,0.00,,,,,,
01/15/2021 15:58:00,15,2,0.00,,,,,,
01/15/2021 15:59:00,15,2,0.00,,,,,,
01/15/2021 16:00:00,15,2,0.00,0,0.49,3.58,0.000,3.259,4.17
01/15/2021 16:01:00,15,2,0.00,,,,,,
01/15/2021 16:02:00,15,2,0.00,,,,,,
01/15/2021 16:03:00,15,2,0.00,,,,,,
01/15/2021 16:04:00,15,2,0.00,,,,,,
01/15/2021 16:05:00,15,2,0.00,0,0.49,3.58,0.000,1.410,4.10
01/15/2021 16:06:00,15,2,0.00,,,,,,
01/15/2021 16:07:00,15,2,0.00,,,,,,
01/15/2021 16:08:00,15,2,0.00,,,,,,
01/15/2021 16:09:00,15,2,0.00,,,,,,
01/15/2021 16:10:00,15,2,0.00,0,0.49,3.58,0.000,1.511,4.10
01/15/2021 16:11:00,15,2,0.00,,,,,,
01/15/2021 16:12:00,15,2,0.00,,,,,,
01/15/2021 16:13:00,15,2,0.00,,,,,,
01/15/2021 16:14:00,15,2,0.00,,,,,,
01/15/2021 16:15:00,15,2,0.00,0,0.49,3.58,0.000,1.779,3.95
01/15/2021 16:16:00,15,2,0.00,,,,,,
01/15/2021 16:17:00,15,2,0.00,,,,,,
01/15/2021 16:18:00,15,2,0.00,,,,,,
01/15/2021 16:19:00,15,2,0.00,,,,,,
01/15/2021 16:20:00,15,2,0.00,0,0.49,3.58,0.000,1.779,4.07
01/15/2021 16:21:00,15,2,0.00,,,,,,
01/15/2021 16:22:00,15,2,0.00,,,,,,
01/15/2021 16:23:00,15,2,0.00,,,,,,
01/15/2021 16:24:00,15,2,0.00,,,,,,
01/15/2021 16:25:00,15,2,0.00,0,0.49,3.58,0.000,1.410,3.93
01/15/2021 16:26:00,15,2,0.00,,,,,,
01/15/2021 16:27:00,15,2,0.00,,,,,,
01/15/2021 16:28:00,15,2,0.00,,,,,,
01/15/2021 16:29:00,15,2,0.00,,,,,,
01/15/2021 16:30:00,15,2,0.00,0,0.49,3.58,0.000,1.846,3.99
01/15/2021 16:31:00,15,2,0.00,,,,,,
01/15/2021 16:32:00,15,2,0.00,,,,,,
01/15/2021 16:33:00,15,2,0.00,,,,,,
01/15/2021 16:34:00,15,2,0.00,,,,,,
01/15/2021 16:35:00,15,2,0.00,0,0.49,3.58,0.000,1.578,4.00
01/15/2021 16:36:00,15,2,0.00,,,,,,
01/15/2021 16:37:00,15,2,0.00,,,,,,
01/15/2021 16:38:00,15,2,0.00,,,,,,
01/15/2021 16:39:00,15,2,0.00,,,,,,
01/15/2021 16:40:00,15,2,0.00,0,0.49,3.58,0.000,1.813,4.08
01/15/2021 16:41:00,15,2,0.00,,,,,,
01/15/2021 16:42:00,15,2,0.00,,,,,,
01/15/2021 16:43:00,15,2,0.00,,,,,,
01/15/2021 16:44:00,15,2,0.00,,,,,,
01/15/2021 16:45:00,15,2,0.00,0,0.49,3.58,0.000,1.410,4.04
01/15/2021 16:46:00,15,2,0.00,,,,,,
01/15/2021 16:47:00,15,2,0.00,,,,,,
01/15/2021 16:48:00,15,2,0.00,,,,,,
01/15/2021 16:49:00,15,2,0.00,,,,,,
01/15/2021 16:50:00,15,2,0.00,0,0.49,3.58,0.000,1.544,3.73
01/15/2021 16:51:00,15,2,0.00,,,,,,
01/15/2021 16:52:00,15,2,0.00,,,,,,
01/15/2021 16:53:00,15,2,0.00,,,,,,
01/15/2021 16:54:00,15,2,0.00,,,,,,
01/15/2021 16:55:00,15,2,0.00,0,0.49,3.58,0.000,1.679,3.87
01/15/2021 16:56:00,15,2,0.00,,,,,,
01/15/2021 16:57:00,15,2,0.00,,,,,,
01/15/2021 16:58:00,15,2,0.00,,,,,,
01/15/2021 16:59:00,15,2,0.00,,,,,,
01/15/2021 17:00:00,15,2,0.00,0,0.49,3.58,0.000,1.477,3.96
01/15/2021 17:01:00,15,2,0.00,,,,,,
01/15/2021 17:02:00,15,2,0.00,,,,,,
01/15/2021 17:03:00,15,2,0.00,,,,,,
